Suburb,Address,Rooms,Type,Price,Date,Distance,Postcode,Bathroom,Car,Landsize
Abbotsford,47 Studley St,2,h,1180000,27/11/2016,2.5,3067,1,0,162
Abbotsford,45 Yarra St,3,h,1195000,27/11/2016,2.5,3067,2,1,120
Abbotsford,200 Nicholson St,2,h,1012500,28/05/2016,2.5,3067,1,0,182
Abbotsford,27 Charles St,2,h,1030000,30/07/2016,2.5,3067,1,1,172
Airport West,154 Halsey Rd,3,t,840000,3/09/2016,13.5,3042,2,1,303
Airport West,50 Bedford St,3,h,730000,3/12/2016,13.5,3042,2,1,0
Airport West,50 Bedford St,3,h,770000,4/03/2017,13.5,3042,2,1,0
Airport West,23 Hart St,2,h,603000,4/03/2017,13.5,3042,1,1,272
Airport West,1/80 Hawker St,3,t,700000,4/03/2017,13.5,3042,2,2,239
Airport West,1/37 Hillside Gr,3,h,600000,4/03/2017,13.5,3042,1,1,290
Airport West,2/49 McIntosh St,2,u,500000,4/03/2017,13.5,3042,1,1,168
Airport West,54 Marshall Rd,3,h,720000,6/08/2016,13.5,3042,1,1,620
Airport West,36 Roberts Rd,4,h,785000,6/08/2016,13.5,3042,1,2,597
Airport West,11 Harrington Rd,6,h,725000,7/05/2016,13.5,3042,3,2,976
Airport West,2/252 Parer Rd,2,t,450000,7/05/2016,13.5,3042,1,1,110
Airport West,3/19 Hart St,2,u,515000,7/11/2016,13.5,3042,1,1,141
Airport West,2/62 Clydesdale Rd,2,u,530000,10/09/2016,13.5,3042,1,1,120
Airport West,3 Deidre Ct,3,h,895000,10/09/2016,13.5,3042,1,6,1063
Airport West,13 Etzel St,3,h,805000,10/12/2016,13.5,3042,1,1,0
Airport West,1/43 Cameron St,3,u,752000,11/02/2017,13.5,3042,1,1,265
Airport West,145a Victory Rd,2,u,440000,13/08/2016,13.5,3042,1,1,192
Airport West,241 Parer Rd,5,h,755000,14/05/2016,13.5,3042,2,2,596
Airport West,2/40 Earl St,3,t,700000,15/10/2016,13.5,3042,2,2,165
Airport West,180 Parer Rd,3,h,830000,16/04/2016,13.5,3042,1,2,971
Airport West,4/54 Hawker St,2,u,462500,16/07/2016,13.5,3042,1,1,164
Airport West,43 Hillside Gr,3,h,670000,16/07/2016,13.5,3042,2,2,657
Airport West,174 Parer Rd,2,h,675000,16/07/2016,13.5,3042,1,1,612
Airport West,138 Victory Rd,3,h,1042000,16/07/2016,13.5,3042,2,5,612
Airport West,75 King St,3,h,910000,17/09/2016,13.5,3042,1,1,775
Airport West,6 Kittyhawk St,4,h,773000,17/09/2016,13.5,3042,3,4,531
Airport West,478 Fullarton Rd,3,h,810000,18/03/2017,13.5,3042,3,2,555
Airport West,144 Marshall Rd,3,h,715000,18/03/2017,13.5,3042,2,2,422
Airport West,106 Parer Rd,3,h,790000,18/03/2017,13.5,3042,1,3,614
Airport West,3/7 South Rd,3,t,540000,18/06/2016,13.5,3042,2,1,161
Airport West,37 North St,3,t,825000,19/11/2016,13.5,3042,2,1,293
Airport West,10 Hilbert Rd,3,h,685000,22/05/2016,13.5,3042,1,1,579
Airport West,110 Halsey Rd,3,h,805000,22/08/2016,13.5,3042,1,1,623
Airport West,2/13 North St,2,u,510000,22/08/2016,13.5,3042,1,1,141
Airport West,105a Victory Rd,3,h,612000,22/08/2016,13.5,3042,2,1,212
Airport West,117 Marshall Rd,3,h,662000,23/04/2016,13.5,3042,1,2,612
Airport West,34 Moorna Dr,4,h,978000,24/09/2016,13.5,3042,3,2,532
Airport West,33 North St,3,h,720000,25/02/2017,13.5,3042,1,1,585
Airport West,49 Roberts Rd,4,h,765000,27/11/2016,13.5,3042,1,2,509
Airport West,85 Roberts Rd,4,h,900000,27/11/2016,13.5,3042,2,3,628
Albert Park,105 Kerferd Rd,2,h,1275000,3/09/2016,3.3,3206,1,0,120
Albert Park,85 Richardson St,2,h,1455000,3/09/2016,3.3,3206,1,0,159
Albert Park,112 Beaconsfield Pde,3,h,2850000,4/03/2017,3.3,3206,2,0,211
Albert Park,94 Graham St,3,h,1850000,4/03/2017,3.3,3206,2,0,128
Albert Park,396 Montague St,2,h,1436000,4/03/2017,3.3,3206,1,0,130
Albert Park,75 Graham St,2,h,1110000,6/08/2016,3.3,3206,1,0,147
Albert Park,54 Brooke St,2,h,1550000,7/05/2016,3.3,3206,1,1,167
Albert Park,104 Richardson St,4,h,2300000,7/05/2016,3.3,3206,2,1,153
Albert Park,4a Mills St,3,t,1550000,7/11/2016,3.3,3206,2,2,718
Albert Park,1 Moubray St,3,h,1800000,7/11/2016,3.3,3206,2,1,132
Albert Park,29 Faussett St,2,h,2120000,10/09/2016,3.3,3206,1,1,199
Albert Park,3 Herbert St,3,h,1800000,10/09/2016,3.3,3206,1,1,253
Albert Park,24 Kerferd Pl,3,h,1800000,10/09/2016,3.3,3206,2,1,90
Albert Park,44 Draper St,2,h,1810000,10/12/2016,3.3,3206,1,0,240
Albert Park,2 Dundas Pl,3,h,2615000,10/12/2016,3.3,3206,2,1,177
Albert Park,23 Finlay St,5,h,2100000,10/12/2016,3.3,3206,2,1,237
Albert Park,31 Richardson St,3,h,1300000,10/12/2016,3.3,3206,1,0,129
Albert Park,4a Gatehouse La,3,h,1370000,12/06/2016,3.3,3206,2,2,0
Albert Park,60 Brooke St,2,h,1000000,12/11/2016,3.3,3206,1,0,288
Albert Park,70 Barrett St,3,h,2575000,15/10/2016,3.3,3206,2,1,228
Albert Park,65 Graham St,2,h,1322500,15/10/2016,3.3,3206,1,0,149
Albert Park,364 Montague St,2,h,1562500,15/10/2016,3.3,3206,1,0,141
Albert Park,86 Mills St,3,h,2000000,16/04/2016,3.3,3206,2,1,211
Albert Park,129 Kerferd Rd,3,h,1900000,18/03/2017,3.3,3206,1,0,209
Albert Park,97 Page St,3,h,3010000,18/03/2017,3.3,3206,2,0,147
Albert Park,55 Withers St,4,h,2800000,18/06/2016,3.3,3206,3,1,327
Albert Park,10/140 Kerferd Rd,2,u,647000,22/05/2016,3.3,3206,1,1,0
Albert Park,55 Merton St,3,h,2100000,23/04/2016,3.3,3206,1,1,120
Albert Park,49 Page St,3,h,2000000,24/09/2016,3.3,3206,1,1,238
Albert Park,13/52 Moubray St,1,u,442500,25/02/2017,3.3,3206,1,0,0
Albert Park,115 Page St,4,h,4735000,25/02/2017,3.3,3206,2,1,330
Albert Park,32 Page St,2,h,1340000,25/02/2017,3.3,3206,1,0,136
Albert Park,34 Richardson St,3,h,1801000,25/02/2017,3.3,3206,1,1,202
Albert Park,2b Dundas Pl,3,h,1532000,26/07/2016,3.3,3206,3,1,0
Albert Park,22 Greig St,3,h,3755000,26/07/2016,3.3,3206,2,2,325
Albert Park,27 Barrett St,4,h,2140000,27/06/2016,3.3,3206,2,1,183
Albert Park,44 Greig St,2,h,1750000,27/11/2016,3.3,3206,1,1,162
Albert Park,6 Brooke St,2,h,980000,28/05/2016,3.3,3206,1,0,79
Albert Park,227a Danks St,3,h,2030000,28/08/2016,3.3,3206,2,0,152
Albert Park,17 Reed St,3,h,1740000,28/08/2016,3.3,3206,2,2,147
Albert Park,74 Bridport St,3,h,2800000,30/07/2016,3.3,3206,3,1,0
Albert Park,9 Durham St,1,h,985000,30/07/2016,3.3,3206,1,0,81
Alphington,6 Smith St,4,h,2000000,3/09/2016,6.4,3078,2,4,853
Alphington,5/6 Yarralea St,3,h,1110000,3/09/2016,6.4,3078,2,2,208
Alphington,136A Fulham Rd,3,h,1492000,4/03/2017,6.4,3078,2,2,411
Alphington,44 Shiers St,4,h,1717500,8/10/2016,6.4,3078,2,1,599
Alphington,83 Fulham Rd,5,h,2840000,12/06/2016,6.4,3078,4,4,809
Alphington,3/19 Harker St,2,u,525500,12/11/2016,6.4,3078,1,1,88
Alphington,4/2 Miller St,2,t,805000,12/11/2016,6.4,3078,2,3,155
Alphington,2/5 Yarana Rd,2,u,465000,12/11/2016,6.4,3078,1,1,0
Alphington,815 Heidelberg Rd,3,h,2000000,15/10/2016,6.4,3078,3,2,686
Alphington,44 Naroon Rd,3,h,1540000,16/04/2016,6.4,3078,1,2,592
Alphington,3/98 Grange Rd,2,u,820000,18/03/2017,6.4,3078,1,1,183
Alphington,10 Bennett St,4,h,1830000,19/11/2016,6.4,3078,2,2,606
Alphington,38 Bennett St,4,h,2100000,19/11/2016,6.4,3078,2,2,575
Alphington,2c Hamilton St,3,h,865000,22/05/2016,6.4,3078,1,1,180
Alphington,5/5 Yarana Rd,2,u,390000,22/05/2016,6.4,3078,1,1,0
Alphington,7/7 Chandler Hwy,2,t,650000,24/09/2016,6.4,3078,1,0,0
Alphington,1/14 Fulham Rd,2,u,512000,25/02/2017,6.4,3078,1,1,0
Alphington,22 Lowther St,3,h,1165000,27/06/2016,6.4,3078,1,2,979
Alphington,11 Margaret Gr,4,h,1900000,27/11/2016,6.4,3078,2,2,556
Alphington,6 Naroon Rd,3,h,1485000,28/08/2016,6.4,3078,0,0,597
Alphington,42 Shiers St,4,h,1950000,30/07/2016,6.4,3078,2,3,589
Altona,158 Queen St,3,h,520000,3/09/2016,13.8,3018,2,1,352
Altona,59 Bracken Gr,5,h,1525000,3/12/2016,13.8,3018,3,3,729
Altona,1/123 Blyth St,2,t,720000,4/02/2016,13.8,3018,1,2,292
Altona,4 Blyth St,3,h,1120000,4/03/2017,13.8,3018,1,2,506
Altona,20 Linnet St,4,h,780000,4/06/2016,13.8,3018,1,4,655
Altona,29 Rose St,4,h,1780000,4/06/2016,13.8,3018,3,6,1057
Altona,1/170 Blyth St,3,u,630000,6/08/2016,13.8,3018,1,2,311
Altona,5/35 Grieve Pde,2,u,406000,6/08/2016,13.8,3018,1,1,65
Altona,156 Maidstone St,3,h,660000,7/05/2016,13.8,3018,1,1,602
Altona,11 Keeshan Ct,3,h,683500,7/11/2016,13.8,3018,1,1,530
Altona,1/136 Queen St,2,u,580000,8/10/2016,13.8,3018,1,1,225
Altona,173 Queen St,3,h,1335000,8/10/2016,13.8,3018,1,4,777
Altona,1/265 Queen St,3,t,800000,8/10/2016,13.8,3018,2,2,280
Altona,3/26 Grieve Pde,2,u,510000,10/09/2016,13.8,3018,1,1,127
Altona,261 Queen St,4,h,1070000,10/09/2016,13.8,3018,2,2,695
Altona,4/5 Rose St,2,u,425000,10/09/2016,13.8,3018,1,2,115
Altona,1/60 David St,3,u,605000,10/12/2016,13.8,3018,2,2,230
Altona,1A Merritt Ct,3,t,705000,11/02/2017,13.8,3018,2,2,197
Altona,4/31 Millers Rd,2,u,391000,11/02/2017,13.8,3018,1,1,0
Altona,111/112 Pier St,2,u,440000,11/02/2017,13.8,3018,1,1,0
Altona,24 Wren St,4,h,845000,11/02/2017,13.8,3018,1,2,745
Altona,1/152 Blyth St,3,t,743000,12/11/2016,13.8,3018,2,2,211
Altona,4/57 Blyth St,3,u,730000,13/08/2016,13.8,3018,2,1,69
Altona,164 Maidstone St,3,h,635000,14/05/2016,13.8,3018,1,4,625
Altona,3/25 Rayner St,2,u,620000,14/05/2016,13.8,3018,1,1,168
Altona,3/46 Sargood St,2,u,447000,15/10/2016,13.8,3018,1,1,137
Altona,1/57 Blyth St,3,u,730000,16/04/2016,13.8,3018,2,1,70
Altona,22 Fenfield St,3,h,678000,16/04/2016,13.8,3018,1,2,606
Altona,5/8 David St,2,u,580000,16/07/2016,13.8,3018,2,1,175
Altona,1/28 Seves St,3,h,712000,17/09/2016,13.8,3018,1,2,363
Altona,27 McIntyre Dr,3,h,840000,18/03/2017,13.8,3018,2,2,534
Altona,4 Boyd St,3,h,980000,19/11/2016,13.8,3018,1,2,724
Altona,12 Spear Ct,3,t,605100,22/05/2016,13.8,3018,2,0,265
Altona,185 Queen St,3,h,880000,22/08/2016,13.8,3018,3,1,577
Altona,3/20 Mulga St,3,u,577000,23/04/2016,13.8,3018,2,1,205
Altona,51 Millers Rd,4,h,1030000,25/02/2017,13.8,3018,1,0,797
Altona,2/119 Railway St N,3,u,605000,25/02/2017,13.8,3018,1,2,181
Altona,24 McIntyre Dr,3,h,753000,27/06/2016,13.8,3018,2,2,529
Altona,104 Maidstone St,2,h,857000,27/11/2016,13.8,3018,2,1,675
Altona,49 Bent St,3,h,1500000,28/05/2016,13.8,3018,1,1,929
Altona,5/57 Blyth St,3,u,730000,28/05/2016,13.8,3018,2,1,70
Altona,15 Kookaburra St,3,h,900000,28/05/2016,13.8,3018,1,4,697
Altona,219 Civic Pde,3,h,740000,28/08/2016,13.8,3018,1,2,604
Altona,3 Curtin Ct,4,h,931000,28/08/2016,13.8,3018,2,3,532
Altona,2/60 David St,2,h,535600,30/07/2016,13.8,3018,1,1,154
Altona North,45 Hearn St,5,h,1085000,3/09/2016,11.1,3025,3,6,592
Altona North,4 Knapp St,3,h,781000,3/09/2016,11.1,3025,1,2,533
Altona North,21 Hatherley Gr,3,h,750000,4/03/2017,11.1,3025,1,3,554
Altona North,3/66 Marion St,2,t,421000,4/03/2017,11.1,3025,1,1,77
Altona North,153 Mills St,3,h,1405000,4/03/2017,11.1,3025,1,3,655
Altona North,33 Carthy St,3,h,683000,4/06/2016,11.1,3025,1,2,534
Altona North,16 Harris St,3,h,623000,4/06/2016,11.1,3025,1,3,540
Altona North,1/5 Little St,3,h,720000,6/08/2016,11.1,3025,2,1,0
Altona North,1/95 Mills St,3,h,588000,7/05/2016,11.1,3025,1,1,328
Altona North,5 Binns St,3,h,710000,7/11/2016,11.1,3025,1,3,540
Altona North,25 Allan St,4,h,875000,8/10/2016,11.1,3025,1,4,559
Altona North,21 Hatherley Gr,3,h,700000,10/12/2016,11.1,3025,1,3,554
Altona North,1/256 Mason St,2,t,640000,11/03/2017,11.1,3025,1,1,252
Altona North,21 Allan St,4,h,650000,12/06/2016,11.1,3025,1,4,558
Altona North,2/36 May St,3,h,675000,14/05/2016,11.1,3025,2,2,171
Altona North,11 Beevers St,3,h,708000,15/10/2016,11.1,3025,1,2,585
Altona North,10 Murphy St,4,h,965000,15/10/2016,11.1,3025,1,4,851
Altona North,16 Beevers St,3,h,680000,19/11/2016,11.1,3025,1,3,551
Altona North,21 Neal Ct,3,h,770000,19/11/2016,11.1,3025,1,3,602
Altona North,31 Duosa Rd,3,h,923000,22/05/2016,11.1,3025,1,2,740
Altona North,252 Millers Rd,4,h,693000,22/05/2016,11.1,3025,2,4,315
Altona North,1/156 Chambers Rd,3,h,620000,22/08/2016,11.1,3025,2,2,276
Altona North,2 Gadsden St,3,h,728500,22/08/2016,11.1,3025,1,1,531
Altona North,24 Hansen St,3,h,931000,22/08/2016,11.1,3025,2,1,590
Altona North,4 Prismall St,3,h,988000,22/08/2016,11.1,3025,1,4,715
Altona North,122 McIntosh Rd,3,h,590000,23/04/2016,11.1,3025,1,2,561
Altona North,35 May St,2,h,610000,24/09/2016,11.1,3025,1,2,691
Altona North,6 Hill St,3,h,815000,25/02/2017,11.1,3025,2,3,555
Altona North,84 May St,4,h,970000,25/02/2017,11.1,3025,1,2,708
Altona North,155 Chambers Rd,4,h,760000,27/06/2016,11.1,3025,1,3,668
Altona North,268d Mason St,4,t,847500,27/06/2016,11.1,3025,3,1,252
Altona North,5 Cresser St,4,h,1200000,27/11/2016,11.1,3025,1,4,633
Altona North,107 McIntosh Rd,3,h,700000,27/11/2016,11.1,3025,1,1,557
Altona North,10 Knapp St,3,h,625000,28/05/2016,11.1,3025,1,1,536
Altona North,4/221 Blackshaws Rd,2,u,292000,28/08/2016,11.1,3025,1,1,153
Armadale,8/19 Mercer Rd,2,u,599000,3/09/2016,6.3,3143,1,1,0
Armadale,1/42 Adelaide St,2,u,550000,3/12/2016,6.3,3143,1,0,861
Armadale,14/71 Denbigh Rd,3,u,995000,3/12/2016,6.3,3143,2,2,0
Armadale,4/769 High St,3,t,1205000,3/12/2016,6.3,3143,2,2,101
Armadale,7 Llaneast St,3,h,1939000,3/12/2016,6.3,3143,2,2,296
Armadale,9/55 Northcote Rd,1,u,421500,3/12/2016,6.3,3143,1,0,0
Armadale,28 Cambridge St,3,h,1870000,4/03/2017,6.3,3143,1,1,217
Armadale,3/16 Fulton St,2,u,678000,4/03/2017,6.3,3143,1,2,0
Armadale,3/20 Mercer Rd,3,t,1918000,4/03/2017,6.3,3143,2,2,0
Armadale,1/77 Wattletree Rd,2,u,660000,4/03/2017,6.3,3143,1,1,0
Armadale,12 Willis St,3,h,2050000,4/03/2017,6.3,3143,2,1,205
Armadale,8/71 Denbigh Rd,2,u,700000,4/06/2016,6.3,3143,1,2,0
Armadale,11/17 Myamyn St,2,u,3625000,4/06/2016,6.3,3143,2,2,0
Armadale,526 Orrong Rd,4,h,3000000,4/06/2016,6.3,3143,2,2,1581
Armadale,553 Dandenong Rd,5,h,1525000,7/05/2016,6.3,3143,2,2,693
Armadale,9/19 Mercer Rd,3,u,735000,7/05/2016,6.3,3143,2,1,2113
Armadale,6/26 Mercer Rd,2,u,825000,7/05/2016,6.3,3143,1,1,0
Armadale,538a Orrong Rd,3,t,1586000,7/05/2016,6.3,3143,2,2,246
Armadale,18/41 Kooyong Rd,2,u,645000,8/10/2016,6.3,3143,1,1,0
Armadale,10 William St,1,h,1435000,8/10/2016,6.3,3143,2,1,144
Armadale,15/405 Dandenong Rd,1,u,280000,10/09/2016,6.3,3143,1,1,0
Armadale,1/2 Armadale St,1,u,400000,10/12/2016,6.3,3143,1,1,0
Armadale,4/20 Mercer Rd,2,h,1780000,10/12/2016,6.3,3143,2,2,0
Armadale,8/58 Sutherland Rd,2,u,592500,10/12/2016,6.3,3143,1,1,0
Armadale,40 New St,2,h,1210000,12/11/2016,6.3,3143,1,0,249
Armadale,35 Northcote Rd,4,h,2801000,12/11/2016,6.3,3143,2,2,624
Armadale,7/53 Wattletree Rd,1,u,390000,14/05/2016,6.3,3143,1,0,881
Armadale,791 High St,3,h,1800000,15/10/2016,6.3,3143,2,2,405
Armadale,25 Llaneast St,4,h,2200000,15/10/2016,6.3,3143,1,2,495
Armadale,8/569 Orrong Rd,1,u,324000,16/04/2016,6.3,3143,1,1,0
Armadale,367 Dandenong Rd,6,h,5525000,17/09/2016,6.3,3143,3,4,1491
Armadale,34a Rose St,2,h,1125000,17/09/2016,6.3,3143,1,2,169
Armadale,42 Rose St,3,h,2250000,17/09/2016,6.3,3143,3,1,301
Armadale,12 Auburn Gr,3,h,2360000,18/03/2017,6.3,3143,2,0,336
Armadale,31 Hume St,2,h,1900000,18/03/2017,6.3,3143,2,0,207
Armadale,10/581 Orrong Rd,1,u,440000,18/03/2017,6.3,3143,1,1,0
Armadale,7/579 Dandenong Rd,2,u,490000,18/06/2016,6.3,3143,1,1,0
Armadale,19 Glassford St,3,h,2365000,18/06/2016,6.3,3143,2,1,316
Armadale,14 New St,3,h,1300000,18/06/2016,6.3,3143,1,2,212
Armadale,7/501 Orrong Rd,3,u,732000,18/06/2016,6.3,3143,2,2,0
Armadale,6/51 Armadale St,2,u,704000,19/11/2016,6.3,3143,1,1,0
Armadale,12/41 Kooyong Rd,2,u,620000,19/11/2016,6.3,3143,1,1,0
Armadale,63 Denbigh Rd,3,h,1900000,22/05/2016,6.3,3143,1,2,328
Armadale,13/56 Sutherland Rd,1,u,315000,22/08/2016,6.3,3143,1,1,0
Armadale,7/22 Derby St,1,u,450000,24/09/2016,6.3,3143,1,1,0
Armadale,10/51 Armadale St,2,u,710000,25/02/2017,6.3,3143,1,1,2471
Armadale,2/377 Dandenong Rd,2,u,872000,25/02/2017,6.3,3143,1,1,1194
Armadale,1/14 Denbigh Rd,2,u,598000,25/02/2017,6.3,3143,1,1,0
Armadale,75 Sutherland Rd,3,h,1285000,25/02/2017,6.3,3143,1,2,186
Armadale,61 Union St,4,h,3660000,25/02/2017,6.3,3143,3,2,421
Armadale,1/403 Dandenong Rd,2,u,520000,27/06/2016,6.3,3143,1,1,0
Armadale,44 Denbigh Rd,4,h,3625000,27/11/2016,6.3,3143,1,2,709
Armadale,44 Hampden Rd,4,h,4200000,27/11/2016,6.3,3143,3,3,563
Armadale,3/769 High St,3,t,1101000,27/11/2016,6.3,3143,1,2,103
Armadale,4 Mercer Rd,3,h,3512500,27/11/2016,6.3,3143,2,2,617
Armadale,17 Kooyong Rd,4,h,2000000,28/05/2016,6.3,3143,3,4,544
Armadale,1/31 Mercer Rd,3,u,869000,28/05/2016,6.3,3143,1,1,0
Armadale,16 Llaneast St,5,h,2810000,28/08/2016,6.3,3143,2,2,617
Armadale,2/532 Orrong Rd,2,u,565000,28/08/2016,6.3,3143,1,1,0
Armadale,5/555 Orrong Rd,1,u,567000,28/08/2016,6.3,3143,1,1,0
Armadale,3/50 Denbigh Rd,2,u,546000,30/07/2016,6.3,3143,0,0,0
Armadale,7/844 Malvern Rd,2,u,471500,30/07/2016,6.3,3143,1,1,0
Ascot Vale,2/43 Roxburgh St,2,u,455000,3/09/2016,5.9,3032,1,2,0
Ascot Vale,30 Rothwell St,3,h,940000,3/12/2016,5.9,3032,1,2,298
Ascot Vale,9/5 Rothwell St,2,u,467000,3/12/2016,5.9,3032,1,1,0
Ascot Vale,7 Francis St,3,h,1380000,4/03/2017,5.9,3032,2,2,277
Ascot Vale,2/21 Harold St,2,u,490000,4/03/2017,5.9,3032,1,1,423
Ascot Vale,44 The Parade,4,h,1850000,4/03/2017,5.9,3032,3,1,478
Ascot Vale,97 Walter St,3,h,1284000,4/03/2017,5.9,3032,1,2,623
Ascot Vale,98 Epsom Rd,3,h,971000,4/06/2016,5.9,3032,2,2,285
Ascot Vale,8 Geddes St,2,h,710000,4/06/2016,5.9,3032,1,1,214
Ascot Vale,75 Maribyrnong Rd,6,h,2425000,4/06/2016,5.9,3032,3,2,1014
Ascot Vale,119 Roseberry St,2,h,750000,4/06/2016,5.9,3032,1,1,226
Ascot Vale,10 Fenton St,2,h,1053000,6/08/2016,5.9,3032,1,1,269
Ascot Vale,10 McCully St,3,h,1377000,6/08/2016,5.9,3032,1,1,417
Ascot Vale,120 Epsom Rd,3,h,970000,7/05/2016,5.9,3032,1,2,350
Ascot Vale,47 Hurtle St,2,h,940000,7/05/2016,5.9,3032,1,1,330
Ascot Vale,63 Kent St,2,h,751000,7/05/2016,5.9,3032,1,1,118
Ascot Vale,4 The Parade,2,h,950000,7/05/2016,5.9,3032,1,1,173
Ascot Vale,1/17 Epsom Rd,2,u,685000,7/11/2016,5.9,3032,1,2,228
Ascot Vale,41 Monash St,3,h,1230000,8/10/2016,5.9,3032,1,2,594
Ascot Vale,2/78 Ormond Rd,2,h,636500,8/10/2016,5.9,3032,1,1,0
Ascot Vale,83 Roseberry St,3,h,910000,8/10/2016,5.9,3032,1,0,317
Ascot Vale,51 Francis St,2,h,770000,10/09/2016,5.9,3032,1,1,226
Ascot Vale,33 Dalgety Dr,3,h,960000,10/12/2016,5.9,3032,2,2,229
Ascot Vale,12 Mirams St,4,h,890000,10/12/2016,5.9,3032,1,1,300
Ascot Vale,2 The Parade,2,h,965000,10/12/2016,5.9,3032,1,1,170
Ascot Vale,78 The Parade,3,h,1440000,11/02/2017,5.9,3032,1,1,487
Ascot Vale,11 Ascot St,2,h,955000,11/03/2017,5.9,3032,1,0,255
Ascot Vale,24/54 Epsom Rd,2,u,450000,12/11/2016,5.9,3032,1,1,0
Ascot Vale,2 Farncomb St,3,h,801000,12/11/2016,5.9,3032,1,2,431
Ascot Vale,26 Newsom St,3,h,1000000,12/11/2016,5.9,3032,2,2,440
Ascot Vale,8 Pentland St,3,h,1435000,12/11/2016,5.9,3032,2,2,532
Ascot Vale,8/129 The Parade,1,u,390000,12/11/2016,5.9,3032,1,1,0
Ascot Vale,52 Monash St,3,h,1425000,13/08/2016,5.9,3032,2,2,495
Ascot Vale,58 Fenton St,4,h,1340000,14/05/2016,5.9,3032,2,2,683
Ascot Vale,70 Munro St,3,h,955000,14/05/2016,5.9,3032,1,1,263
Ascot Vale,125 Epsom Rd,4,h,1100000,15/10/2016,5.9,3032,2,5,559
Ascot Vale,33 Hockey La,3,h,1255000,15/10/2016,5.9,3032,2,2,308
Ascot Vale,3/28 Ormond Rd,2,u,432000,15/10/2016,5.9,3032,1,1,0
Ascot Vale,7 Angler Pde,4,h,1640000,16/04/2016,5.9,3032,3,2,562
Ascot Vale,26 Ayr St,6,h,1430000,16/04/2016,5.9,3032,2,1,461
Ascot Vale,2/127 Epsom Rd,2,u,610000,16/04/2016,5.9,3032,1,1,301
Ascot Vale,57 The Parade,3,h,940000,16/04/2016,5.9,3032,3,1,491
Ascot Vale,62 Mirams St,3,h,890000,16/07/2016,5.9,3032,1,1,242
Ascot Vale,67 Hurtle St,3,h,1180000,17/09/2016,5.9,3032,2,2,617
Ascot Vale,95 Walter St,4,h,1480000,17/09/2016,5.9,3032,2,2,597
Ascot Vale,15 Bayview Tce,2,h,1150000,18/03/2017,5.9,3032,1,1,387
